text,true_label,predicted_label,confidence_negative,confidence_positive,is_correct
this film was made in saskatchewan and manitoba parks and returned the world eye again to what little of the wild western canada is left when archie began to write his stories for the papers the thought of the day was to tame the wilderness and convert absorb the first nation peoples the film puts forward and asks the question why would a well educated obviously talented englishman become an indian archie as an english boy dreams about becoming something but grasping the full meaning of that dream is unique and priceless no mater what it is sounds like a famous puppet story doesn't it in my opinion i saw archie become my living image of the cigar store indian a very wooden character and not real at all very well done acting on the part of mr brosnan he also portrayed the wild indian in the dance scene for the tourist the fullness and or reality of it weren't realized till he met and married his wife annie annie pushed archie in a direction that would bring him to the forefront of the englishman's world stage not as himself but grey owl an canadian native of the wilderness frontier this is the closest archie get to becoming the noble savage prototype mr brosnan's interpretation as well as the directors is both well done i have watched documentaries on grey owl and i think this is a good big screen movie to add to my collection spoiler i thought the final scenes with archie going to meet the grand council of chiefs was a great a great moment in the film very beautiful canadian lake scenery and real grey owl locations,0,1,0.007324265781790018,0.9926757216453552,0
this is a baffling film the beauty in sexual relations between men and women is shown degraded by a set of men and women who can only be described as a collection of oddballs and misfits greenaway acknowledges his inspiration to fellini's film but whereas fellini is a titan of world cinema greenaway is not he has none of the maestro's lightness of touch nor his ability to convey feelings and emotions with a deftness of clarity he is pretentious the film being divided into chapters with a written introduction to each as if the viewer has to be guided into the film except that the written notices only stay on screen for a few seconds not long enough to be read by the audience with the result that they are mostly ignored as for the women only two can be described as lookers palmira played by polly walker and giaconda played by natacha amal the rest ooze with ordinariness both the women and the men retreat from the harsh light of reality into the dim shades of fantasy greenaway obviously wants to make the point that sexual fantasy does not lead to happiness the women themselves are depressing since they render their services in exchange for money relations between men and women are debased into a commercial transaction there is no sense of joy or happiness or love in the film indeed there are several scenes that are deeply unpleasant the suggestion of an incestuous relationship between father and son philip and storey emmental played respectively by john standing and matthew delamere the callous disregard of both men that giaconda is carrying their child she in fact gets pregnant twice the first foetus being aborted and the second time she is sent away to a destination chosen by the men from a flight book both men having sex with a woman who has no legs the half woman in the title the beastiality that exists between beryl played by amanda plummer with a pig named hortense father and son sharing women between them women enjoying being beaten sexually the father sleeping with the corpse of his dead wife mercifully none of these scenes are shown sexually only hinted at the hinted degradation of women is such that there cannot be any wonder that the film was booed at when it was first premiered at cannes what is more extraordinary is that the actresses in the film lined up to defend it showing yet again that there is no limit to the naivety of women and that women will fool themselves into being exploited by men greenaway's directorial style is pretentious it is a triumph of style over substance a depiction of film as art accompanied by the abandonment of common sense greenaway tries to attain the sublimity of surrealism but only succeeds in showing the banality of human relationships,0,1,0.008519790135324001,0.9914802312850952,0
ray bradbury run and hide this tacky film version of his short story from the s about time travel and the effect it might have on de evolution is not well known from the theatrical run did it have one and exists now as a dvd on the shelves released during a slow week what looks to be a fancy sci fi thriller form the opening scenes quickly fools us as the computer generated graphics are re run unaltered throughout a film that is supposed to be about different 'trips' back in time where a major company sells macho guys in the chance to hunt dinosaurs by paying exorbitant fees to travel back in time to prehistoric jungles one slip of the foot butterfly while on one of these ventures and the course of evolution is altered with resultant time waves rolling over the planet changing everything to man eating plants and beasties of course there is a pretty damsel who knows how to reverse the process and a hunky man to risk his life to act on her orders and everything is eventually ok yes that is the story and the most surprising fact about this poorly scripted abysmally acted mess of a film is that it attracted some fine talent to portray the comic book flat characters edward burns all buff and hunky is our hero du jour ben kingsley is the requisite bad corporate guy sporting a ridiculous white wig catherine mccormack is the know it all woman creator and wilfried hochholdinger as an evil one all are superb actors and should have known better than to align with this flop and the saddest thing is that for those who like this genre of sci fi monster thrillers the creative department sold out with some of the corniest animation to hit the screen in a long time a must miss grady harp,0,1,0.008527422323822975,0.991472601890564,0
i considered myself to be quite melancholy especially when i watch a great touching and tear jerking movies but not for this one which surprised me and it is also really surprising me to see how many people praised this movie so highly there are several disturbing facts throughout the movies despite guilt ridden ben's real intention to save lives to redeem his past i find it disturbing that the film seems encourage this type of suicidal action some people may perceive this is a heroic action and some others think he behaves cowardly in the end this was a disturbing action to me the movie story line is over dramatized but the logic is over simplified medically blood type match is required to be an organ donor toward the end of the film we learnt that emily had rear blood type that limited her chance to get the donor within short time period nevertheless it seemed that ben had the rare blood type same as hers which allowed him to be her donor and conveniently despite the rarity of ben's blood type he was able to donate not only his heart but also his kidney his cornea and his bone marrow which in all cases require not only matching blood type but also tissue antigen why the doctors allow ben's organs being donated despite the jellyfish venom he used to kill himself i might be over analyzing the whole story as after all this is just a movie however some disturbing facts outlined above hopefully will help you reconsider your plan to go to watch this movie if you go for a soap opera type of film go for it but it you go seeking for an intelligent entertainment give this one a miss,0,1,0.008881566114723682,0.9911183714866638,0
very serious spoilers this movie was a huge disappointment there are so many problems i dont know where to start so i'll talk about what is good about the film the cast was great steve martin delivers a really funny performance of a middle aged upper class uptight white guy queen latifah plays a big beautiful urban black gal and eugene levy well he pretty much plays himself add betty white and jean smart and you have a great cast everyone played their parts really well and if watching these guys for hours is worth to you then you wont be disappointed but the movie makes a lot of serious mistakes first of all there are enough racial stereotypes and racial jokes to offend everyone all the white people are uptight bigots all the black people are ghetto ebonics speakers the blacks are hip cool with it and poor the whites are nerds stiff and rich except eugene levy he is clearly taken with queen latifa and speaks the lingo so latifa nicknames him a freak so if you're a white man and you like black women and you know street slang you must be a freak the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs putting the race card aside lets look at the major flaw in the film they destroy latifa's character she comes to martin's home under false pretense but martin takes a liking to her anyway she's supposed to be wrongly accused of robbery martin takes up her cause of the way through the film we find out latifa's character escaped from jail so our sympathy for her goes out the window there is no real plot the movie plods along from scene to scene with latifa showing up in some place where she's not supposed to be like a country club or martin's house and martin trying to hide her thats the running gag then in the last minutes of the film they decide that they're going to finally deal with latifa's assertion that she was wrongly accused of bank robbery martin goes under cover as a homeboy to extract a let's face it unusable confession from latifa's ex boyfriend and everyone lives happily ever after finally but there is a lot more wrong with this flick this movie appears to be a hodge podge of clips from other movies the premise is clearly borrowed from another martin movie the house sitter where goldie hawn comes to live with martin and shakes up his stodgy middle class life martin and latifa meet online ala youve got mail the whole quirky nanny fixes rich man's life goes as far back as the sound of music and mary poppins i wouldnt see this movie again for free,0,1,0.009219461120665073,0.9907805323600769,0
i first saw the live musical at the denver center for the performing arts and it was absolutely mind blowing stunning and had such fantastic continuity of plot and dialogue that i liked it much more than most musicals that i have seen on the stage the interesting thing is that you never got to see zach's face he was always in the dark but his presence was powerful and guided the direction of entire production whe i heard they were making a movie from it i waited with bated breath but when i watched the movie version i was so bummed out disappointed that i felt i was cheated the movie lacks the captivating mood set in the live production and it never allows you to be completely in close touch with every character personally i would like to see the live version again and if that should ever be revived i would wholeheartedly recommend that you go out of your way to see it it will be one of the most memorable experiences you will enjoy,0,1,0.009436565451323986,0.9905633926391602,0
this has to be one of the all time greatest horror movies charles band made the best movie of ' in this little seen gem highly realistic and incredibly stylised with a visual flair david fincher would envy its not hard to see why band went on to make such classics as 'killjoy deliverance from evil' 'the regina pierce affair' 'virgins of sherwood forest' and 'timegate tales of the saddle tramps' with a highly sophisticated story a tiny body with a large head controls a family of weirdos who perform experiments on naked women this movie may be a bit too much for younger viewers and is only for the most educated type of viewer but for those who see it band is able to convey subtle messages about the human condition through his masterpiece the head is symbolic of the lost love and longing for one's inner self that we all must face at one point or another and for this reason i was able to engage with this film on a deeply personal level although many earlier critics have compared band's film to re animator and other lesser works this stands head and heels above the rest it is gorier but not pointlessly the gore in this film is well crafted and used to enhance the storyline rather than to just get a cheap shriek out of the audience also the special effects in this film are absolutely top notch easily the best work done in a horror film since well ever the work in this film makes savini's effects look like the work of a blind limbless hobo the only problem i have with this film is the copious amounts of full frontal nudity which were ultimately unnecessary in achieving the composer's goal to create a timeless epic that would forever go down in history as possibly the greatest film of all time if it were not for this slight problem i would have given this film a perfect,0,1,0.0095670809969306,0.990432858467102,0
the film heaven's gate was a good view although still tedious at over hours but the film took great license as usual with hollywood james averill chris christopherson and elle were actually married in real life their main contribution to the johnson county war was to start it by being hanged well by starting it i mean it came at the beginning not the end here's the real scenario james averill and ellen watson were secretly married because one homestead could be given to each family by filing as single individuals they could get two homesteads they chose homesites on crazy woman creek actually controlling the water above the land held by a powerful member of the cattleman's association he offered to buy them out repeatedly which they refused although characterized in real life as the owner of a brothel cattle kate and a prostitute herself and also in the film there is no real evidence that was true it is known that she bought many head of sick cattle nursed them back to life and was later accused by the cattleman's association of receiving the cattle in trade for lewd acts' in the end she was accused of rustling an act almost certainly untrue so much for this part of the myth of the american west which is a gooble de gook of myths spanning a time period of about one hundred years in real life she and jim averill were surprised one day by several members of the cattleman's association taken in hand and promptly hanged those perpetrating the injustice were never brought to trial but that was the first link that led to the murder of nate champion and the start of the johnson county war quite different from the hollywood version which shows her shot at the end other than that i think the main problem with the film was the editor who could have made the action a faster pace by more skillful editing,0,1,0.00959058292210102,0.9904093742370605,0
this movie is a rather odd mix of musical romance drama and crime with a sniff of film noir to it it's basically one messy heap of different genres of which none really works out like it was supposed to this movie is an attempt by mickey rooney to be taken more serious as an actor he's a former child star who always used to star in in happy comical and musical productions at the start of his career in this movie he picks a different approach although the musical aspects are still present in the movie but his role is actually quite laughable within the movie i mean mickey rooney as a tough player he's an extremely small boyish looking man he actually was in his 's already at the time of this movie but he seriously looks more like a year old hearing him say babe to women and hearing talking tough to gangsters who are about times bigger than he is just doesn't look and feel right he simply isn't convincing in his role because the movie mixes so many different genres the story also really feels as a messy one somewhere in it there is a crime plot and somewhere in it is a romantic plot line and one about living your dream but none of it works out really due to the messy approach and handling of it all it just isn't an interesting or compelling movie to watch l szl kardos is also a director who has done only movies in his lifetime despite the fact that his career span from till he must have been a struggling director who had a hard time getting work into the industry and instead once in a while was given a lesser script to work with his movies are all unknown ones and normally also not of too high quality let's also not forget that this is a ' 's movie but yet it more feels like a ' 's one or perhaps even as one from the ' 's this is of course mostly due to the fact that this movie got shot in black white generally speaking black white movies from the ' 's often have a cheap looking feeling over it and this movie forms no exception it's a rather strange sight seeing mickey rooney and louis armstrong and his band as themselves performing together in a sequence it wasn't the only movie armstrong appeared in though and he would often pop up in these type of movies often simply as himself i guess jazz lovers can still somewhat enjoy watching this movie due to its music since there is quite an amount of it present in this movie the movie actually received an oscar nomination for best original song an awkward little movie and outing from mickey rooney,0,1,0.009653152897953987,0.9903468489646912,0
the ultimate goal of big brother that we know what to think before we think it has been realized is it some kind of miracle or sinister joke that people don mental straight jackets of their own volition twist themselves into contorted shapes and grin like apes movies art no longer risk the unknown but are forgone conclusions drained of life the notorious bettie page is a bland case history fit for a freshman college feminism course its lesson is schematic right angled and linear see how women are objectified exploited abused then tossed on the trash heap by a male dominated society bettie page supposedly was the pin up queen of the 's the ass millions of men ejaculated to all reviewers repeat that phrase pin up queen of the 's like a choir of monkeys her history as an american sex bomb is familiar southern abused by her father raped etc in this movie she is a na f an innocent unaware of the prurient interests she serves and shamelessly profits from although she believes in jesus she enjoys frolicking nude before a camera lens just the wholesome girl next door sex slave american males supposedly fantasize from the mouth of writer director mary harron herself oxford educated and ex punker do you smell the combined rot of privilege and hipness as i do i feel that without feminism i wouldn't be doing this i don't make feminist films in the sense that i don't make anything ideological but i do find that women get my films better what a cozy clique the movie merely goes through the motions of telling the story of a human life it's subject and purpose having been eulogized and interred well before the movie began ms page has a boyfriend but we are shown next to nothing about their relationship in fact there are no intimate or detailed relationships in the film one can't ignore its smug simplicity in new york where ms page tries her best to fit into and appease a man's world letting herself be tied up in the ropes of bondage and tightly laced into the black leather boots and bodices of s m the movie is black and white but down in miami where she goes to get away from it all gleefully takes off her clothes and is photographed by a liberated female the movie turns into color like hell harron doesn't make feminist films doesn't make anything ideological ideology has become so internalized so assumed so programmed that it's almost invisible big brother must be smiling,0,1,0.009752285666763783,0.9902476668357849,0
